,winner_name,subject,year,url
285,Henry Kissinger;Lê Đức Thọ[f],Peace,1973,/wiki/Geoffrey_Wilkinson
286,Martin Ryle;Antony Hewish,Physics,1974,/wiki/Martin_Ryle
287,Paul Flory,Chemistry,1974,/wiki/Antony_Hewish
288,Albert Claude;Christian de Duve;George Emil Palade,Physiologyor Medicine,1974,/wiki/Paul_Flory
289,Eyvind Johnson;Harry Martinson,Literature,1974,/wiki/Albert_Claude
290,Seán MacBride;Eisaku Satō,Peace,1974,/wiki/Christian_de_Duve
291,Aage Bohr;Ben Roy Mottelson;James Rainwater,Physics,1975,/wiki/Aage_Bohr
292,John Cornforth;Vladimir Prelog,Chemistry,1975,/wiki/Ben_Roy_Mottelson
293,David Baltimore;Renato Dulbecco;Howard Martin Temin,Physiologyor Medicine,1975,/wiki/James_Rainwater
294,Eugenio Montale,Literature,1975,/wiki/John_Cornforth
295,Andrei Sakharov,Peace,1975,/wiki/Vladimir_Prelog
296,Burton Richter;Samuel C. C. Ting,Physics,1976,/wiki/Burton_Richter
297,William Lipscomb,Chemistry,1976,/wiki/Samuel_C._C._Ting
298,Baruch Samuel Blumberg;Daniel Carleton Gajdusek,Physiologyor Medicine,1976,/wiki/William_Lipscomb
299,Saul Bellow,Literature,1976,/wiki/Baruch_Samuel_Blumberg
300,Betty Williams;Mairead Maguire,Peace,1976,/wiki/Daniel_Carleton_Gajdusek
301,Philip W. Anderson;Nevill Francis Mott;John Hasbrouck Van Vleck,Physics,1977,/wiki/Philip_W._Anderson
302,Ilya Prigogine,Chemistry,1977,/wiki/Nevill_Francis_Mott
303,Roger Guillemin;Andrew Schally;Rosalyn Sussman Yalow,Physiologyor Medicine,1977,/wiki/John_Hasbrouck_Van_Vleck
304,Vicente Aleixandre,Literature,1977,/wiki/Ilya_Prigogine
305,Amnesty International,Peace,1977,/wiki/Roger_Guillemin
306,Pyotr Kapitsa;Arno Allan Penzias;Robert Woodrow Wilson,Physics,1978,/wiki/Pyotr_Kapitsa
307,Peter D. Mitchell,Chemistry,1978,/wiki/Arno_Allan_Penzias
308,Werner Arber;Daniel Nathans;Hamilton O. Smith,Physiologyor Medicine,1978,/wiki/Robert_Woodrow_Wilson
309,Isaac Bashevis Singer,Literature,1978,/wiki/Peter_D._Mitchell
310,Anwar Sadat;Menachem Begin,Peace,1978,/wiki/Werner_Arber
311,Sheldon Glashow;Abdus Salam;Steven Weinberg,Physics,1979,/wiki/Sheldon_Glashow
312,Herbert C. Brown;Georg Wittig,Chemistry,1979,/wiki/Abdus_Salam
313,Allan McLeod Cormack;Godfrey Hounsfield,Physiologyor Medicine,1979,/wiki/Steven_Weinberg
314,Odysseas Elytis,Literature,1979,/wiki/Herbert_C._Brown
315,Mother Teresa,Peace,1979,/wiki/Georg_Wittig
316,James Cronin;Val Logsdon Fitch,Physics,1980,/wiki/James_Cronin
317,Paul Berg;Walter Gilbert;Frederick Sanger,Chemistry,1980,/wiki/Val_Logsdon_Fitch
318,Baruj Benacerraf;Jean Dausset;George Davis Snell,Physiologyor Medicine,1980,/wiki/Paul_Berg
319,Czesław Miłosz,Literature,1980,/wiki/Walter_Gilbert
320,Adolfo Pérez Esquivel,Peace,1980,/wiki/Frederick_Sanger
321,Nicolaas Bloembergen;Arthur Leonard Schawlow;Kai Siegbahn,Physics,1981,/wiki/Nicolaas_Bloembergen
322,Kenichi Fukui;Roald Hoffmann,Chemistry,1981,/wiki/Arthur_Leonard_Schawlow
323,Roger Wolcott Sperry;David H. Hubel;Torsten Wiesel,Physiologyor Medicine,1981,/wiki/Kai_Siegbahn
324,Elias Canetti,Literature,1981,/wiki/Kenichi_Fukui
325,United Nations High Commissioner for Refugees,Peace,1981,/wiki/Roald_Hoffmann
326,Kenneth G. Wilson,Physics,1982,/wiki/Kenneth_G._Wilson
327,Aaron Klug,Chemistry,1982,/wiki/Aaron_Klug
328,Sune Bergström;Bengt I. Samuelsson;John Vane,Physiologyor Medicine,1982,/wiki/Sune_Bergstr%C3%B6m
329,Gabriel García Márquez,Literature,1982,/wiki/Bengt_I._Samuelsson
330,Alva Myrdal;Alfonso García Robles,Peace,1982,/wiki/John_Vane
331,Subrahmanyan Chandrasekhar;William Alfred Fowler,Physics,1983,/wiki/Subrahmanyan_Chandrasekhar
332,Henry Taube,Chemistry,1983,/wiki/William_Alfred_Fowler
333,Barbara McClintock,Physiologyor Medicine,1983,/wiki/Henry_Taube
334,William Golding,Literature,1983,/wiki/Barbara_McClintock
335,Lech Wałęsa,Peace,1983,/wiki/William_Golding
336,Carlo Rubbia;Simon van der Meer,Physics,1984,/wiki/Carlo_Rubbia
337,Robert Bruce Merrifield,Chemistry,1984,/wiki/Simon_van_der_Meer
338,Niels Kaj Jerne;Georges J. F. Köhler;César Milstein,Physiologyor Medicine,1984,/wiki/Robert_Bruce_Merrifield
339,Jaroslav Seifert,Literature,1984,/wiki/Niels_Kaj_Jerne
340,Desmond Tutu,Peace,1984,/wiki/Georges_J._F._K%C3%B6hler
341,Klaus von Klitzing,Physics,1985,/wiki/Klaus_von_Klitzing
342,Herbert A. Hauptman;Jerome Karle,Chemistry,1985,/wiki/Herbert_A._Hauptman
343,Michael Stuart Brown;Joseph L. Goldstein,Physiologyor Medicine,1985,/wiki/Jerome_Karle
344,Claude Simon,Literature,1985,/wiki/Michael_Stuart_Brown
345,International Physicians for the Prevention of Nuclear War,Peace,1985,/wiki/Joseph_L._Goldstein
346,Ernst Ruska;Gerd Binnig;Heinrich Rohrer,Physics,1986,/wiki/Ernst_Ruska
347,Dudley R. Herschbach;Yuan T. Lee;John Polanyi,Chemistry,1986,/wiki/Gerd_Binnig
348,Stanley Cohen;Rita Levi-Montalcini,Physiologyor Medicine,1986,/wiki/Heinrich_Rohrer
349,Wole Soyinka,Literature,1986,/wiki/Dudley_R._Herschbach
350,Elie Wiesel,Peace,1986,/wiki/Yuan_T._Lee
351,Georg Bednorz;K. Alex Müller,Physics,1987,/wiki/Georg_Bednorz
352,Donald J. Cram;Jean-Marie Lehn;Charles J. Pedersen,Chemistry,1987,/wiki/K._Alex_M%C3%BCller
353,Susumu Tonegawa,Physiologyor Medicine,1987,/wiki/Donald_J._Cram
354,Joseph Brodsky,Literature,1987,/wiki/Jean-Marie_Lehn
355,Óscar Arias,Peace,1987,/wiki/Charles_J._Pedersen
356,Leon M. Lederman;Melvin Schwartz;Jack Steinberger,Physics,1988,/wiki/Leon_M._Lederman
357,Johann Deisenhofer;Robert Huber;Hartmut Michel,Chemistry,1988,/wiki/Melvin_Schwartz
358,James W. Black;Gertrude B. Elion;George H. Hitchings,Physiologyor Medicine,1988,/wiki/Jack_Steinberger
359,Naguib Mahfouz,Literature,1988,/wiki/Johann_Deisenhofer
360,United Nations peacekeeping forces,Peace,1988,/wiki/Robert_Huber
361,Norman Ramsey Jr.;Hans Georg Dehmelt;Wolfgang Paul,Physics,1989,/wiki/Norman_Ramsey_Jr.
362,Sidney Altman;Thomas Cech,Chemistry,1989,/wiki/Hans_Georg_Dehmelt
363,J. Michael Bishop;Harold E. Varmus,Physiologyor Medicine,1989,/wiki/Wolfgang_Paul
364,Camilo José Cela,Literature,1989,/wiki/Sidney_Altman
365,Tenzin Gyatso (The 14th Dalai Lama),Peace,1989,/wiki/Thomas_Cech
366,Jerome Isaac Friedman;Henry Way Kendall;Richard E. Taylor,Physics,1990,/wiki/Jerome_Isaac_Friedman
367,Elias James Corey,Chemistry,1990,/wiki/Henry_Way_Kendall
368,Joseph Murray;E. Donnall Thomas,Physiologyor Medicine,1990,/wiki/Richard_E._Taylor
369,Octavio Paz,Literature,1990,/wiki/Elias_James_Corey
370,Mikhail Gorbachev,Peace,1990,/wiki/Joseph_Murray
371,Pierre-Gilles de Gennes,Physics,1991,/wiki/Pierre-Gilles_de_Gennes
372,Richard R. Ernst,Chemistry,1991,/wiki/Richard_R._Ernst
373,Erwin Neher;Bert Sakmann,Physiologyor Medicine,1991,/wiki/Erwin_Neher
374,Nadine Gordimer,Literature,1991,/wiki/Bert_Sakmann
375,Aung San Suu Kyi,Peace,1991,/wiki/Nadine_Gordimer
376,Georges Charpak,Physics,1992,/wiki/Georges_Charpak
377,Rudolph A. Marcus,Chemistry,1992,/wiki/Rudolph_A._Marcus
378,Edmond H. Fischer;Edwin G. Krebs,Physiologyor Medicine,1992,/wiki/Edmond_H._Fischer
379,Derek Walcott,Literature,1992,/wiki/Edwin_G._Krebs
380,Rigoberta Menchú,Peace,1992,/wiki/Derek_Walcott
381,Russell Alan Hulse;Joseph Hooton Taylor Jr.,Physics,1993,/wiki/Russell_Alan_Hulse
382,Kary Mullis;Michael Smith,Chemistry,1993,/wiki/Joseph_Hooton_Taylor_Jr.
383,Richard J. Roberts;Phillip Allen Sharp,Physiologyor Medicine,1993,/wiki/Kary_Mullis
384,Toni Morrison,Literature,1993,/wiki/Michael_Smith_(chemist)
385,Nelson Mandela;F. W. de Klerk,Peace,1993,/wiki/Richard_J._Roberts
386,Bertram Brockhouse;Clifford Shull,Physics,1994,/wiki/Bertram_Brockhouse
387,George Andrew Olah,Chemistry,1994,/wiki/Clifford_Shull
388,Alfred G. Gilman;Martin Rodbell,Physiologyor Medicine,1994,/wiki/George_Andrew_Olah
389,Kenzaburō Ōe,Literature,1994,/wiki/Alfred_G._Gilman
390,Yasser Arafat;Shimon Peres;Yitzhak Rabin,Peace,1994,/wiki/Martin_Rodbell
391,Martin Lewis Perl;Frederick Reines,Physics,1995,/wiki/Martin_Lewis_Perl
392,Paul J. Crutzen;Mario J. Molina;F. Sherwood Rowland,Chemistry,1995,/wiki/Frederick_Reines
393,Edward B. Lewis;Christiane Nüsslein-Volhard;Eric F. Wieschaus,Physiologyor Medicine,1995,/wiki/Paul_J._Crutzen
394,Seamus Heaney,Literature,1995,/wiki/Mario_J._Molina
395,Joseph Rotblat;Pugwash Conferences on Science and World Affairs,Peace,1995,/wiki/F._Sherwood_Rowland
396,David Lee;Douglas Osheroff;Robert Coleman Richardson,Physics,1996,/wiki/David_Lee_(physicist)
397,Robert Curl;Harry Kroto;Richard Smalley,Chemistry,1996,/wiki/Douglas_Osheroff
398,Peter C. Doherty;Rolf M. Zinkernagel,Physiologyor Medicine,1996,/wiki/Robert_Coleman_Richardson
399,Wisława Szymborska,Literature,1996,/wiki/Robert_Curl
400,Carlos Filipe Ximenes Belo;José Ramos-Horta,Peace,1996,/wiki/Harry_Kroto
401,Steven Chu;Claude Cohen-Tannoudji;William Daniel Phillips,Physics,1997,/wiki/Steven_Chu
402,Paul D. Boyer;John E. Walker;Jens Christian Skou,Chemistry,1997,/wiki/Claude_Cohen-Tannoudji
403,Stanley B. Prusiner,Physiologyor Medicine,1997,/wiki/William_Daniel_Phillips
404,Dario Fo,Literature,1997,/wiki/Paul_D._Boyer
405,International Campaign to Ban Landmines;Jody Williams,Peace,1997,/wiki/John_E._Walker
406,Robert B. Laughlin;Horst Ludwig Störmer;Daniel C. Tsui,Physics,1998,/wiki/Robert_B._Laughlin
407,Walter Kohn;John Pople,Chemistry,1998,/wiki/Horst_Ludwig_St%C3%B6rmer
408,Robert F. Furchgott;Louis Ignarro;Ferid Murad,Physiologyor Medicine,1998,/wiki/Daniel_C._Tsui
409,José Saramago,Literature,1998,/wiki/Walter_Kohn
410,John Hume;David Trimble,Peace,1998,/wiki/John_Pople
411,Gerard 't Hooft;Martinus J. G. Veltman,Physics,1999,/wiki/Gerard_%27t_Hooft
412,Ahmed Zewail,Chemistry,1999,/wiki/Martinus_J._G._Veltman
413,Günter Blobel,Physiologyor Medicine,1999,/wiki/Ahmed_Zewail
414,Günter Grass,Literature,1999,/wiki/G%C3%BCnter_Blobel
415,Médecins Sans Frontières,Peace,1999,/wiki/G%C3%BCnter_Grass
416,Jack Kilby;Zhores Alferov;Herbert Kroemer,Physics,2000,/wiki/Jack_Kilby
417,Alan J. Heeger;Alan MacDiarmid;Hideki Shirakawa,Chemistry,2000,/wiki/Zhores_Alferov
418,Arvid Carlsson;Paul Greengard;Eric Kandel,Physiologyor Medicine,2000,/wiki/Herbert_Kroemer
419,Gao Xingjian,Literature,2000,/wiki/Alan_J._Heeger
420,Kim Dae-jung,Peace,2000,/wiki/Alan_MacDiarmid
421,Eric Allin Cornell;Wolfgang Ketterle;Carl Wieman,Physics,2001,/wiki/Eric_Allin_Cornell
422,William Standish Knowles;Ryōji Noyori;Karl Barry Sharpless,Chemistry,2001,/wiki/Wolfgang_Ketterle
423,Leland H. Hartwell;Tim Hunt;Paul Nurse,Physiologyor Medicine,2001,/wiki/Carl_Wieman
424,V. S. Naipaul,Literature,2001,/wiki/William_Standish_Knowles
425,United Nations;Kofi Annan,Peace,2001,/wiki/Ry%C5%8Dji_Noyori
426,Riccardo Giacconi;Raymond Davis Jr.;Masatoshi Koshiba,Physics,2002,/wiki/Riccardo_Giacconi
427,John B. Fenn;Koichi Tanaka;Kurt Wüthrich,Chemistry,2002,/wiki/Raymond_Davis_Jr.
428,Sydney Brenner;H. Robert Horvitz;John Sulston,Physiologyor Medicine,2002,/wiki/Masatoshi_Koshiba
429,Imre Kertész,Literature,2002,/wiki/John_B._Fenn
430,Jimmy Carter,Peace,2002,/wiki/Koichi_Tanaka
431,Alexei Abrikosov;Vitaly Ginzburg;Anthony James Leggett,Physics,2003,/wiki/Alexei_Abrikosov_(physicist)
432,Peter Agre;Roderick MacKinnon,Chemistry,2003,/wiki/Vitaly_Ginzburg
433,Paul Lauterbur;Peter Mansfield,Physiologyor Medicine,2003,/wiki/Anthony_James_Leggett
434,J. M. Coetzee,Literature,2003,/wiki/Peter_Agre
435,Shirin Ebadi,Peace,2003,/wiki/Roderick_MacKinnon
436,David Gross;Hugh David Politzer;Frank Wilczek,Physics,2004,/wiki/David_Gross
437,Aaron Ciechanover;Avram Hershko;Irwin Rose,Chemistry,2004,/wiki/Hugh_David_Politzer
438,Richard Axel;Linda B. Buck,Physiologyor Medicine,2004,/wiki/Frank_Wilczek
439,Elfriede Jelinek,Literature,2004,/wiki/Aaron_Ciechanover
440,Wangari Maathai,Peace,2004,/wiki/Avram_Hershko
441,Roy J. Glauber;John L. Hall;Theodor W. Hänsch,Physics,2005,/wiki/Roy_J._Glauber
442,Yves Chauvin;Robert H. Grubbs;Richard R. Schrock,Chemistry,2005,/wiki/John_L._Hall
443,Barry Marshall;Robin Warren,Physiologyor Medicine,2005,/wiki/Theodor_W._H%C3%A4nsch
444,Harold Pinter,Literature,2005,/wiki/Yves_Chauvin
445,International Atomic Energy Agency;Mohamed ElBaradei,Peace,2005,/wiki/Robert_H._Grubbs
446,John C. Mather;George Smoot,Physics,2006,/wiki/John_C._Mather
447,Roger D. Kornberg,Chemistry,2006,/wiki/George_Smoot
448,Andrew Fire;Craig Mello,Physiologyor Medicine,2006,/wiki/Roger_D._Kornberg
449,Orhan Pamuk,Literature,2006,/wiki/Andrew_Fire
450,Muhammad Yunus;Grameen Bank,Peace,2006,/wiki/Craig_Mello
451,Albert Fert;Peter Grünberg,Physics,2007,/wiki/Albert_Fert
452,Gerhard Ertl,Chemistry,2007,/wiki/Peter_Gr%C3%BCnberg
453,Mario Capecchi;Martin Evans;Oliver Smithies,Physiologyor Medicine,2007,/wiki/Gerhard_Ertl
454,Doris Lessing,Literature,2007,/wiki/Mario_Capecchi
455,Intergovernmental Panel on Climate Change;Al Gore,Peace,2007,/wiki/Martin_Evans
456,Yoichiro Nambu;Makoto Kobayashi;Toshihide Maskawa,Physics,2008,/wiki/Yoichiro_Nambu
457,Osamu Shimomura;Martin Chalfie;Roger Y. Tsien,Chemistry,2008,/wiki/Makoto_Kobayashi_(physicist)
458,Harald zur Hausen;Françoise Barré-Sinoussi;Luc Montagnier,Physiologyor Medicine,2008,/wiki/Toshihide_Maskawa
459,J. M. G. Le Clézio,Literature,2008,/wiki/Osamu_Shimomura
460,Martti Ahtisaari,Peace,2008,/wiki/Martin_Chalfie
461,Charles K. Kao;Willard S. Boyle;George E. Smith,Physics,2009,/wiki/Charles_K._Kao
462,Venkatraman Ramakrishnan;Thomas A. Steitz;Ada Yonath,Chemistry,2009,/wiki/Willard_Boyle
463,Elizabeth Blackburn;Carol W. Greider;Jack W. Szostak,Physiologyor Medicine,2009,/wiki/George_E._Smith
464,Herta Müller,Literature,2009,/wiki/Venkatraman_Ramakrishnan
465,Barack  Obama,Peace,2009,/wiki/Thomas_A._Steitz
466,Andre Geim;Konstantin Novoselov,Physics,2010,/wiki/Andre_Geim
467,Richard F. Heck;Ei-ichi Negishi;Akira Suzuki,Chemistry,2010,/wiki/Konstantin_Novoselov
468,Robert Edwards,Physiologyor Medicine,2010,/wiki/Richard_F._Heck
469,Mario Vargas Llosa,Literature,2010,/wiki/Ei-ichi_Negishi
470,Liu Xiaobo[g],Peace,2010,/wiki/Akira_Suzuki_(chemist)
471,Saul Perlmutter;Adam Riess;Brian Schmidt,Physics,2011,/wiki/Saul_Perlmutter
472,Dan Shechtman,Chemistry,2011,/wiki/Adam_Riess
473,Bruce Beutler;Jules A. Hoffmann;Ralph M. Steinman,Physiologyor Medicine,2011,/wiki/Brian_Schmidt
474,Tomas Tranströmer,Literature,2011,/wiki/Dan_Shechtman
475,Ellen Johnson Sirleaf;Leymah Gbowee;Tawakel Karman,Peace,2011,/wiki/Bruce_Beutler
476,Serge Haroche;David J. Wineland,Physics,2012,/wiki/Serge_Haroche
477,Brian K. Kobilka;Robert J. Lefkowitz,Chemistry,2012,/wiki/David_J._Wineland
478,John B. Gurdon; Shinya Yamanaka,Physiologyor Medicine,2012,/wiki/Brian_Kobilka
479,Mo Yan,Literature,2012,/wiki/Robert_Lefkowitz
480,European Union,Peace,2012,/wiki/John_Gurdon
481,François Englert;Peter W. Higgs,Physics,2013,/wiki/Fran%C3%A7ois_Englert
482,Martin Karplus;Michael Levitt;Arieh Warshel,Chemistry,2013,/wiki/Peter_Higgs
483,James E. Rothman;Randy W. Schekman;Thomas C. Südhof,Physiologyor Medicine,2013,/wiki/Martin_Karplus
484,Alice Munro,Literature,2013,/wiki/Michael_Levitt
485,Organisation for the Prohibition of Chemical Weapons,Peace,2013,/wiki/Arieh_Warshel
486,Isamu Akasaki;Hiroshi Amano;Shuji Nakamura,Physics,2014,/wiki/Isamu_Akasaki
487,Eric Betzig;Stefan Hell;William Moerner,Chemistry,2014,/wiki/Hiroshi_Amano
488,John O'Keefe;May-Britt Moser;Edvard Moser,Physiologyor Medicine,2014,/wiki/Shuji_Nakamura
489,Patrick Modiano,Literature,2014,/wiki/Eric_Betzig
490,Kailash Satyarthi;Malala Yousafzai,Peace,2014,/wiki/Stefan_Hell
491,Takaaki Kajita;Arthur B. McDonald,Physics,2015,/wiki/Takaaki_Kajita
492,Tomas Lindahl;Paul L. Modrich;Aziz Sancar,Chemistry,2015,/wiki/Arthur_B._McDonald
493,William C. Campbell;Satoshi Ōmura;Tu Youyou,Physiologyor Medicine,2015,/wiki/Tomas_Lindahl
494,Svetlana Alexievich,Literature,2015,/wiki/Paul_Modrich
495,Tunisian National Dialogue Quartet,Peace,2015,/wiki/Aziz_Sancar
496,David J. Thouless;Duncan Haldane;John M. Kosterlitz,Physics,2016,/wiki/David_J._Thouless
497,Jean-Pierre Sauvage;Fraser Stoddart;Ben Feringa,Chemistry,2016,/wiki/Duncan_Haldane
498,Yoshinori Ohsumi,Physiologyor Medicine,2016,/wiki/John_M._Kosterlitz
499,Bob Dylan,Literature,2016,/wiki/Jean-Pierre_Sauvage
500,Juan Manuel Santos,Peace,2016,/wiki/Fraser_Stoddart
501,Rainer Weiss;Barry Barish;Kip Thorne,Physics,2017,/wiki/Rainer_Weiss
502,Jacques Dubochet;Joachim Frank;Richard Henderson,Chemistry,2017,/wiki/Barry_Barish
503,Jeffrey C. Hall;Michael Rosbash;Michael W. Young,Physiologyor Medicine,2017,/wiki/Kip_Thorne
504,Kazuo Ishiguro,Literature,2017,/wiki/Jacques_Dubochet
505,International Campaign to Abolish Nuclear Weapons,Peace,2017,/wiki/Joachim_Frank
506,Arthur Ashkin;Gérard Mourou;Donna Strickland,Physics,2018,/wiki/Arthur_Ashkin
507,Frances H. Arnold;George Smith;Greg Winter,Chemistry,2018,/wiki/G%C3%A9rard_Mourou
508,James P. Allison;Tasuku Honjo,Physiologyor Medicine,2018,/wiki/Donna_Strickland
509,Olga Tokarczuk[h],Literature,2018,/wiki/Frances_H._Arnold
510,Denis Mukwege;Nadia Murad,Peace,2018,/wiki/George_Smith_(chemist)
511,Jim Peebles;Michel Mayor;Didier Queloz,Physics,2019,/wiki/Jim_Peebles
512,John B. Goodenough;M. Stanley Whittingham;Akira Yoshino,Chemistry,2019,/wiki/Michel_Mayor
513,William Kaelin Jr.;Peter J. Ratcliffe;Gregg L. Semenza,Physiologyor Medicine,2019,/wiki/Didier_Queloz
514,Peter Handke,Literature,2019,/wiki/John_B._Goodenough
515,Abiy Ahmed,Peace,2019,/wiki/M._Stanley_Whittingham
516,Roger Penrose;Reinhard Genzel;Andrea M. Ghez,Physics,2020,/wiki/Roger_Penrose
517,Emmanuelle Charpentier;Jennifer Doudna,Chemistry,2020,/wiki/Reinhard_Genzel
518,Harvey J. Alter;Michael Houghton;Charles M. Rice,Physiologyor Medicine,2020,/wiki/Andrea_M._Ghez
519,Louise Glück,Literature,2020,/wiki/Emmanuelle_Charpentier
520,World Food Programme,Peace,2020,/wiki/Jennifer_Doudna
521,Giorgio Parisi;Klaus Hasselmann;Syukuro Manabe,Physics,2021,/wiki/Giorgio_Parisi
522,Benjamin List;David MacMillan,Chemistry,2021,/wiki/Klaus_Hasselmann
523,David Julius;Ardem Patapoutian,Physiologyor Medicine,2021,/wiki/Syukuro_Manabe
524,Abdulrazak Gurnah,Literature,2021,/wiki/Benjamin_List
525,Maria Ressa;Dmitry Muratov,Peace,2021,/wiki/David_MacMillan
526,Alain Aspect;John Clauser;Anton Zeilinger,Physics,2022,/wiki/Alain_Aspect
527,Carolyn Bertozzi;Morten P. Meldal;Karl Barry Sharpless,Chemistry,2022,/wiki/John_Clauser
528,Svante Pääbo,Physiologyor Medicine,2022,/wiki/Anton_Zeilinger
529,Annie Ernaux,Literature,2022,/wiki/Carolyn_Bertozzi
530,Ales Bialiatski;Memorial;Centre for Civil Liberties,Peace,2022,/wiki/Morten_P._Meldal
531,Pierre Agostini;Ferenc Krausz;Anne L'Huillier,Physics,2023,/wiki/Pierre_Agostini
532,Moungi Bawendi;Louis E. Brus;Alexey Ekimov,Chemistry,2023,/wiki/Ferenc_Krausz
533,Katalin Karikó;Drew Weissman,Physiologyor Medicine,2023,/wiki/Anne_L%27Huillier
534,Jon Fosse,Literature,2023,/wiki/Moungi_Bawendi
535,Narges Mohammadi,Peace,2023,/wiki/Louis_E._Brus
